artist,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
Drake,103393441.0,rap,95.0,artist,"122,491.8",48.224,"83,627.9","46,307.8",42875850.0,14.0,14.0
Taylor Swift,145960477.0,nan,100.0,artist,"114,464.0",73.087,"110,924.1","101,320.6",33352827.0,12.0,12.0
Bad Bunny,102944627.0,"reggaeton, trap latino, urbano latino, latin",96.0,artist,"108,856.3",48.179,"69,861.9","40,392.9",4332445.0,8.0,8.0
The Weeknd,113413144.0,nan,94.0,artist,"86,408.1",40.98,"69,564.2","46,496.7",90725820.0,27.0,27.0
Justin Bieber,85170938.0,nan,91.0,artist,"65,506.9",26.747,"40,668.3","24,976.2",31134514.0,11.0,11.0
Dan + Shay,3203926.0,country,67.0,artist,"5,163.7",0.831,"4,977.4","3,589.8",2847985.0,9.0,9.0
Sean Kingston,3781061.0,nan,71.0,artist,"3,560.2",1.707,"3,255.0","2,040.2",4868130.0,7.0,7.0
Ariana Grande,107551510.0,pop,91.0,artist,"60,848.3",28.3,"50,709.6","36,843.6",47239492.0,12.0,12.0
Ed Sheeran,122959276.0,soft pop,88.0,artist,"60,704.6",19.026,"54,089.1","43,648.0",31769351.0,8.0,8.0
Travis Scott,41249103.0,rap,90.0,artist,"60,193.5",21.593,"32,599.6","23,495.8",38044884.0,12.0,12.0
Eminem,104782606.0,"rap, hip hop",89.0,artist,"59,982.5",18.264,"50,468.3","30,614.4",49014021.0,5.0,5.0
Kanye West,31123634.0,rap,90.0,artist,"58,618.1",21.904,"41,510.5","25,985.5",54038859.0,10.0,10.0
Lil Pump,7568948.0,nan,61.0,artist,"5,047.0",0.445,"2,412.7","1,971.8",26186228.0,13.0,13.0
Rihanna,69227410.0,nan,91.0,artist,"53,372.2",25.288,"39,127.2","26,174.1",30952714.0,11.0,11.0
Billie Eilish,119093338.0,nan,91.0,artist,"52,421.4",26.087,"51,659.3","46,425.1",59308850.0,18.0,18.0
Post Malone,47760255.0,nan,86.0,artist,"51,901.7",11.902,"46,041.3","24,190.6",30110312.0,12.0,12.0
Kendrick Lamar,44748029.0,"hip hop, west coast hip hop",89.0,artist,"51,560.2",19.627,"36,998.6","21,550.9",69460841.0,9.0,9.0
David Guetta,27176115.0,edm,87.0,artist,"38,072.0",14.661,"27,739.1",360.0,1239562.0,3.0,3.0
Anitta,13251712.0,"brazilian pop, funk pop, brazilian funk, funk carioca",79.0,artist,"14,119.7",4.774,"6,900.1","2,929.5",428229.0,5.0,5.0
Future,22754990.0,rap,89.0,artist,"49,194.3",18.977,"25,378.1","11,380.0",21147155.0,5.0,5.0
Lady Gaga,42478653.0,"art pop, pop",89.0,artist,"33,047.4",20.154,"32,512.0","20,681.5",32825867.0,13.0,13.0
Bruno Mars,75722954.0,nan,90.0,artist,"47,986.7",25.473,"34,278.0","27,889.5",21012175.0,13.0,13.0
Silk Sonic,945727.0,nan,69.0,artist,"3,462.3",1.435,nan,nan,7721689.0,5.0,5.0
BTS,131777.0,pop punk,39.0,artist,"45,471.1",11.515,"40,460.1","36,827.2",5603074.0,3.0,3.0
