artist,artist_id,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
Drake,3TVXtAsR1Inumwj472S9r4,103393441.0,rap,95.0,artist,"122,491.8",48.224,"83,627.9","46,307.8",127456306.0,47.0,14.0
Taylor Swift,06HL4z0CvFAxyc27GXpf02,145960477.0,nan,100.0,artist,"114,464.0",73.087,"110,924.1","101,320.6",91931989.0,41.0,12.0
Cardi B,4kYSro6naA4h99UJvo89HB,25984396.0,nan,81.0,artist,"21,077.3",6.05,"9,923.9","4,005.8",46310865.0,18.0,0.0
Bad Bunny,4q3ewBCX7sLwd24euuV69X,102944627.0,"reggaeton, trap latino, urbano latino, latin",96.0,artist,"108,856.3",48.179,"69,861.9","40,392.9",19689780.0,51.0,8.0
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,9424183.0,"reggaeton, trap latino, urbano latino",80.0,artist,"15,882.5",5.066,"6,822.5","1,881.5",2446826.0,11.0,0.0
Anuel AA,2R21vXR83lH98kGeO99Y66,44916330.0,"reggaeton, trap latino, urbano latino, latin",87.0,artist,"35,573.2",16.833,"16,435.9","5,416.7",5799685.0,35.0,8.0
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,113413144.0,nan,94.0,artist,"86,408.1",40.98,"69,564.2","46,496.7",121152979.0,45.0,27.0
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,85170938.0,nan,91.0,artist,"65,506.9",26.747,"40,668.3","24,976.2",34057486.0,18.0,11.0
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,107551510.0,pop,91.0,artist,"60,848.3",28.3,"50,709.6","36,843.6",62888270.0,26.0,12.0
Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,3203926.0,country,67.0,artist,"5,163.7",0.831,"4,977.4","3,589.8",3142522.0,15.0,9.0
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,122959276.0,soft pop,88.0,artist,"60,704.6",19.026,"54,089.1","43,648.0",52414432.0,23.0,8.0
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,6616382.0,nan,80.0,artist,"14,056.0",5.296,"12,344.9","5,888.6",6811124.0,17.0,10.0
Sean Kingston,6S0dmVVn4udvppDhZIWxCr,3781061.0,nan,71.0,artist,"3,560.2",1.707,"3,255.0","2,040.2",5576581.0,17.0,7.0
Jessie J,2yLzlEFtIS0Q9UkyBZdQA7,1642059.0,nan,77.0,artist,"5,382.1",1.504,"5,255.2","2,629.7",5639844.0,16.0,0.0
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,41249103.0,rap,90.0,artist,"60,193.5",21.593,"32,599.6","23,495.8",54443985.0,28.0,12.0
Young Thug,50co4Is1HCEo8bhOyUWKpn,12450209.0,"rap, melodic rap, trap",84.0,artist,"28,645.7",8.922,"9,582.0","2,439.6",18179282.0,24.0,0.0
Eminem,7dGJo4pcD2V6oG8kP0tJRR,104782606.0,"rap, hip hop",89.0,artist,"59,982.5",18.264,"50,468.3","30,614.4",169045643.0,43.0,5.0
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,31123634.0,rap,90.0,artist,"58,618.1",21.904,"41,510.5","25,985.5",124323734.0,40.0,10.0
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,10408337.0,"hip hop, east coast hip hop, rap",83.0,artist,"22,155.9",8.396,"11,967.1","2,543.3",54755916.0,20.0,0.0
Big Sean,0c173mlxpT3dSFRgMO8XPh,11549429.0,nan,74.0,artist,"15,444.3",2.575,"6,878.8","2,104.6",37625903.0,17.0,1.0
Lil Pump,3wyVrVrFCkukjdVIdirGVY,7568948.0,nan,61.0,artist,"5,047.0",0.445,"2,412.7","1,971.8",28412943.0,16.0,13.0
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,69227410.0,nan,91.0,artist,"53,372.2",25.288,"39,127.2","26,174.1",56239101.0,29.0,11.0
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,119093338.0,nan,91.0,artist,"52,421.4",26.087,"51,659.3","46,425.1",69808657.0,25.0,18.0
Post Malone,246dkjvS1zLTtiykXe5h60,47760255.0,nan,86.0,artist,"51,901.7",11.902,"46,041.3","24,190.6",42716429.0,18.0,12.0
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,44748029.0,"hip hop, west coast hip hop",89.0,artist,"51,560.2",19.627,"36,998.6","21,550.9",138295393.0,28.0,9.0
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,39168085.0,"reggaeton, latin",86.0,artist,"50,254.6",14.1,"23,029.6","7,217.5",4502600.0,18.0,0.0
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,20620656.0,"reggaeton, latin",81.0,artist,"24,022.7",7.075,"10,175.6","2,670.7",1838803.0,9.0,3.0
Chris Jedi,0qTZZWLzuD59Un5r1speHm,2843320.0,"trap latino, reggaeton, urbano latino",66.0,artist,"2,631.5",0.951,"1,957.6",nan,1256551.0,9.0,1.0
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,27176115.0,edm,87.0,artist,"38,072.0",14.661,"27,739.1",360.0,8130975.0,32.0,3.0
Anitta,7FNnA9vBm6EKceENgCGRMb,13251712.0,"brazilian pop, funk pop, brazilian funk, funk carioca",79.0,artist,"14,119.7",4.774,"6,900.1","2,929.5",610402.0,17.0,5.0
Future,1RyvyyTE3xzB2ZywiAwp0i,22754990.0,rap,89.0,artist,"49,194.3",18.977,"25,378.1","11,380.0",31899379.0,15.0,5.0
Jay Rock,28ExwzUQsvgJooOI0X1mr3,1635914.0,nan,69.0,artist,"4,023.4",1.301,"1,708.0",287.5,12312957.0,18.0,8.0
Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,2416774.0,nan,67.0,artist,"4,105.3",0.876,"3,125.1","1,448.2",11387778.0,19.0,2.0
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,42478653.0,"art pop, pop",89.0,artist,"33,047.4",20.154,"32,512.0","20,681.5",64216210.0,28.0,13.0
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,75722954.0,nan,90.0,artist,"47,986.7",25.473,"34,278.0","27,889.5",42619883.0,28.0,13.0
Silk Sonic,6PvvGcCY2XtUcSRld1Wilr,945727.0,nan,69.0,artist,"3,462.3",1.435,nan,nan,7721689.0,5.0,5.0
BTS,3kYFawNQVZ00FQbgs4rVBe,131777.0,pop punk,39.0,artist,"45,471.1",11.515,"40,460.1","36,827.2",12526307.0,7.0,3.0
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,39423857.0,"reggaeton, trap latino, latin, urbano latino",86.0,artist,"43,549.3",13.912,"18,437.3","7,852.1",4229520.0,17.0,4.0
Sech,77ziqFxp5gaInVrF2lj4ht,12063840.0,"reggaeton, urbano latino",78.0,artist,"18,434.2",4.603,"7,073.6","2,254.4",1756141.0,8.0,1.0
NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,11049944.0,"reggaeton, latin, urbano latino, bachata",71.0,artist,"8,474.4",1.598,"3,361.7",657.3,742955.0,7.0,4.0
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,42674578.0,"melodic rap, emo rap",85.0,artist,"43,435.5",11.806,"31,978.4","24,963.4",29853934.0,30.0,17.0
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,21376081.0,nan,80.0,artist,"22,281.4",6.151,"21,206.7","3,912.9",18786796.0,20.0,8.0
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,60972314.0,nan,88.0,artist,"42,246.5",19.415,"38,682.2","34,690.8",33931116.0,27.0,22.0
Migos,6oMuImdp5ZcFhWP0ESe6mG,14653658.0,trap,74.0,artist,"14,894.5",2.073,"9,968.7","4,588.4",46411432.0,19.0,11.0
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,34325866.0,nan,85.0,artist,"40,178.6",10.774,"15,311.1","8,964.6",42497256.0,27.0,4.0
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,28437812.0,r&b,88.0,artist,"39,814.5",17.045,"21,896.9","10,935.5",16150839.0,16.0,2.0
Jordin Sparks,2AQjGvtT0pFYfxR3neFcvz,2523706.0,nan,63.0,artist,"1,435.3",0.644,"1,250.9",433.3,2480068.0,14.0,3.0
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,46952548.0,pop,85.0,artist,"38,735.6",12.355,"26,024.2","21,224.3",19333305.0,16.0,9.0
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,15120223.0,"edm, progressive house, electronica",75.0,artist,"12,786.8",2.092,"11,610.4","1,126.0",7339735.0,27.0,9.0
Calvin Harris,7CajNmpbOovFoOoasH2HaY,23090051.0,edm,84.0,artist,"30,970.6",9.373,"28,790.3","5,338.8",16861708.0,23.0,16.0
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,51813125.0,emo rap,84.0,artist,"38,143.8",9.596,"32,664.4","26,704.9",62504083.0,25.0,13.0
Lil Peep,2kCcBybjl3SAtIcwdWpUe3,15749321.0,"emo rap, cloud rap",82.0,artist,"16,989.1",8.301,"16,133.7","8,743.3",32453600.0,38.0,22.0
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,12465799.0,nan,77.0,artist,"16,678.7",3.248,"12,749.1","7,747.0",7450930.0,16.0,6.0
