Rank,Artist,Daily Streams,Peak Daily,Monthly Listeners
Drake,"122,491.8",48.224,"83,627.9","46,307.8"
Taylor Swift,"114,464.0",73.087,"110,924.1","101,320.6"
Bad Bunny,"108,856.3",48.179,"69,861.9","40,392.9"
The Weeknd,"86,408.1",40.980,"69,564.2","46,496.7"
Justin Bieber,"65,506.9",26.747,"40,668.3","24,976.2"
Ariana Grande,"60,848.3",28.300,"50,709.6","36,843.6"
Ed Sheeran,"60,704.6",19.026,"54,089.1","43,648.0"
Travis Scott,"60,193.5",21.593,"32,599.6","23,495.8"
Eminem,"59,982.5",18.264,"50,468.3","30,614.4"
Kanye West,"58,618.1",21.904,"41,510.5","25,985.5"
Rihanna,"53,372.2",25.288,"39,127.2","26,174.1"
Billie Eilish,"52,421.4",26.087,"51,659.3","46,425.1"
Post Malone,"51,901.7",11.902,"46,041.3","24,190.6"
Kendrick Lamar,"51,560.2",19.627,"36,998.6","21,550.9"
J Balvin,"50,254.6",14.100,"23,029.6","7,217.5"
Future,"49,194.3",18.977,"25,378.1","11,380.0"
Bruno Mars,"47,986.7",25.473,"34,278.0","27,889.5"
BTS,"45,471.1",11.515,"40,460.1","36,827.2"
Ozuna,"43,549.3",13.912,"18,437.3","7,852.1"
Juice WRLD,"43,435.5",11.806,"31,978.4","24,963.4"
Coldplay,"42,246.5",19.415,"38,682.2","34,690.8"
Nicki Minaj,"40,178.6",10.774,"15,311.1","8,964.6"
Chris Brown,"39,814.5",17.045,"21,896.9","10,935.5"
Dua Lipa,"38,735.6",12.355,"26,024.2","21,224.3"
XXXTENTACION,"38,143.8",9.596,"32,664.4","26,704.9"
David Guetta,"38,072.0",14.661,"27,739.1",360.0
Imagine Dragons,"37,554.5",12.864,"35,418.1","31,567.0"
Lana Del Rey,"37,454.7",19.678,"33,780.4","30,300.0"
Daddy Yankee,"36,874.0",12.795,"17,827.6","9,467.5"
Lil Wayne,"36,816.4",13.647,"14,304.3","3,920.1"
21 Savage,"36,388.8",10.170,"14,830.9","7,405.2"
Rauw Alejandro,"36,073.9",20.672,"21,774.1","9,025.4"
Anuel AA,"35,573.2",16.833,"16,435.9","5,416.7"
SZA,"34,919.3",16.099,"22,826.8","17,820.1"
Khalid,"33,952.4",7.498,"17,640.5","11,874.0"
KAROL G,"33,775.3",15.271,"26,150.8","12,961.1"
Lil Baby,"33,182.7",10.180,"17,032.8","8,023.8"
Lady Gaga,"33,047.4",20.154,"32,512.0","20,681.5"
Maroon 5,"32,458.1",12.129,"32,239.3","20,996.4"
BeyoncÃ©,"32,232.3",10.432,"27,293.5","20,207.8"
Maluma,"31,690.8",10.208,"17,697.6","10,555.1"
Feid,"30,990.6",13.045,"16,769.3","8,854.3"
Calvin Harris,"30,970.6",9.373,"28,790.3","5,338.8"
Arijit Singh,"30,496.1",25.676,"10,879.6","4,404.4"
Myke Towers,"30,358.5",11.914,"12,411.5","8,388.8"
Lil Uzi Vert,"29,969.6",7.904,"19,367.0","15,378.7"
J. Cole,"29,353.6",7.861,"22,110.1","17,359.5"
Sia,"29,081.8",10.173,"19,407.9","14,398.9"
Young Thug,"28,645.7",8.922,"9,582.0","2,439.6"
Linkin Park,"28,431.2",19.049,"26,825.5","25,618.1"
Doja Cat,"27,933.8",14.487,"23,016.6","16,844.9"
Shawn Mendes,"27,625.1",6.757,"26,943.1","20,632.2"
Sam Smith,"27,448.0",7.471,"22,824.5","17,026.1"
Shakira,"27,220.7",12.870,"21,014.5","10,249.8"
Farruko,"27,207.3",8.323,"7,516.7","4,253.0"
Peso Pluma,"27,137.5",14.502,"14,454.6","3,395.8"
Queen,"27,081.1",8.239,"27,001.8","24,858.9"
Morgan Wallen,"26,757.0",17.053,"22,789.0","20,554.5"
One Direction,"26,625.9",9.313,"26,625.9","26,539.5"
Metro Boomin,"26,414.6",10.438,"12,636.0",113.1
Adele,"26,381.4",9.963,"26,311.1","26,163.1"
Harry Styles,"25,850.0",6.711,"25,850.0","25,850.0"
Gunna,"25,330.2",11.978,"10,548.3","6,685.0"
Arctic Monkeys,"25,290.0",11.069,"25,290.0","25,290.0"
Selena Gomez,"25,223.1",7.024,"15,113.8","10,409.1"
Katy Perry,"25,057.5",9.597,"22,286.1","17,190.3"
Ty Dolla $ign,"24,782.7",6.073,"4,664.7",302.8
"Tyler, The Creator","24,558.0",13.000,"21,384.5","10,430.0"
Olivia Rodrigo,"24,211.7",11.740,"24,209.5","22,425.2"
Nicky Jam,"24,022.7",7.075,"10,175.6","2,670.7"
Halsey,"23,982.7",5.541,"13,035.4","11,589.6"
The Beatles,"23,842.0",8.173,"23,839.7","23,834.2"
Pritam,"23,804.2",20.572,"20,913.4",9.4
Wiz Khalifa,"23,559.6",7.746,"10,897.6","4,467.2"
Playboi Carti,"22,956.3",14.110,"13,630.8","8,973.5"
Pitbull,"22,601.4",10.749,"15,844.5","1,974.1"
Die drei ???,"22,378.7",10.217,"22,352.0","22,256.2"
The Chainsmokers,"22,281.4",6.151,"21,206.7","3,912.9"
Marshmello,"22,278.1",5.633,"16,511.6","1,639.6"
Frank Ocean,"22,222.3",9.963,"18,075.8","16,652.2"
Junior H,"22,200.3",19.059,"14,179.5","10,703.0"
JAY-Z,"22,155.9",8.396,"11,967.1","2,543.3"
Miley Cyrus,"22,086.4",6.852,"19,103.9","16,937.0"
A$AP Rocky,"21,726.1",8.152,"12,753.7","5,205.7"
Cardi B,"21,077.3",6.050,"9,923.9","4,005.8"
Fuerza Regida,"20,560.9",24.370,"15,039.4","8,220.8"
Twenty One Pilots,"20,298.0",8.922,"20,091.9","20,029.9"
Camila Cabello,"20,271.5",4.349,"11,660.8","6,022.8"
Disney,"19,716.6",8.577,3.2,
Sabrina Carpenter,"19,614.9",26.710,"17,936.8","17,728.6"
Avicii,"19,488.9",4.877,"18,729.8","13,123.3"
OneRepublic,"19,421.9",6.687,"17,933.3","16,014.9"
Red Hot Chili Peppers,"19,401.1",8.927,"19,401.1","19,400.0"
$uicideboy$,"19,304.6",8.275,"18,458.3","15,040.2"
DaBaby,"19,192.5",3.328,"8,812.7","4,940.4"
Michael Jackson,"19,141.1",12.324,"18,331.0","17,079.9"
ArcÃ¡ngel,"19,026.0",10.081,"7,699.9","2,395.9"
Snoop Dogg,"18,958.1",5.923,"7,462.4","1,638.1"
Kygo,"18,769.9",2.695,"16,940.5",247.8
Sech,"18,434.2",4.603,"7,073.6","2,254.4"
Quavo,"18,398.2",3.755,"2,745.8",775.4
Mac Miller,"18,015.3",7.019,"16,748.9","11,697.7"
50 Cent,"17,876.3",9.011,"12,171.0","7,340.9"
Natanael Cano,"17,804.1",10.916,"12,036.5","6,528.1"
Trippie Redd,"17,708.6",5.369,"10,994.2","5,547.8"
Elton John,"17,565.3",6.254,"15,808.2","11,022.1"
YoungBoy Never Broke Again,"17,359.8",11.963,"12,963.6","11,440.8"
Tyga,"17,254.0",3.940,"7,196.6","2,684.1"
Manuel Turizo,"17,120.9",5.779,"7,855.0","5,264.7"
Romeo Santos,"17,054.9",8.282,"11,894.5","6,988.3"
Lil Peep,"16,989.1",8.301,"16,133.7","8,743.3"
Alan Walker,"16,883.8",4.645,"12,898.7","4,955.4"
TiÃ«sto,"16,857.1",4.099,"12,780.8","3,255.3"
The Neighbourhood,"16,832.7",12.020,"16,821.6","16,254.8"
Jason Derulo,"16,678.7",3.248,"12,749.1","7,747.0"
Charlie Puth,"16,639.1",6.649,"13,232.2","7,782.4"
Metallica,"16,621.5",7.645,"16,548.6","16,309.1"
Luke Combs,"16,602.4",8.130,"15,329.2","14,585.8"
Zach Bryan,"16,513.5",11.086,"16,481.2","13,183.1"
Kodak Black,"16,479.1",5.711,"10,643.6","6,828.0"
USHER,"16,470.2",7.481,"11,152.8","4,685.0"
Henrique & Juliano,"16,459.4",11.273,"13,574.7","13,158.0"
Bebe Rexha,"16,359.2",2.964,"5,606.4","2,665.1"
Justin Timberlake,"16,333.5",8.145,"11,726.8","8,012.5"
Swae Lee,"16,257.3",4.188,446.5,128.6
Don Omar,"16,050.5",9.481,"12,724.0","6,957.9"
Demi Lovato,"16,013.9",3.953,"10,723.6","9,230.0"
BLACKPINK,"15,985.0",6.912,"14,830.1","13,975.0"
Sebastian Yatra,"15,947.3",4.272,"10,228.7","4,132.7"
A Boogie Wit da Hoodie,"15,885.6",4.066,"10,575.6","5,801.6"
JHAYCO,"15,882.5",5.066,"6,822.5","1,881.5"
Pop Smoke,"15,788.9",2.675,"14,261.0","7,649.3"
Sean Paul,"15,708.0",7.377,"8,045.1","3,778.3"
Kali Uchis,"15,700.4",8.905,"9,053.2","6,302.7"
Daft Punk,"15,582.5",7.207,"9,221.8","5,573.5"
Big Sean,"15,444.3",2.575,"6,878.8","2,104.6"
Don Toliver,"15,442.6",12.490,"8,889.2","5,938.4"
Luis Miguel,"15,311.5",7.456,"15,294.3","15,281.7"
AC/DC,"15,255.5",6.525,"15,255.5","15,255.5"
Hozier,"15,251.1",7.680,"14,132.7","13,769.7"
Tate McRae,"15,064.9",19.171,"13,459.9","12,301.6"
P!nk,"15,045.8",4.407,"13,645.7","10,186.1"
Ellie Goulding,"15,013.3",4.196,"10,347.6","7,990.2"
James Arthur,"14,984.0",6.932,"13,763.3","11,979.4"
Migos,"14,894.5",2.073,"9,968.7","4,588.4"
Flo Rida,"14,691.2",6.212,"10,729.6","3,957.7"
Tory Lanez,"14,688.3",5.700,"10,323.5","7,187.1"
Polo G,"14,686.3",2.961,"10,258.4","6,721.3"
Akon,"14,680.8",7.883,"6,803.1","3,708.2"
Duki,"14,569.1",5.243,"7,251.3","3,129.4"
DJ Snake,"14,515.0",4.138,"11,011.7",502.5
Pharrell Williams,"14,499.3",4.416,"3,598.2","2,614.9"
CarÃ­n LeÃ³n,"14,463.9",8.672,"8,935.0","6,404.6"
Nirvana,"14,455.1",6.535,"14,455.1","14,454.4"
Diplo,"14,415.4",4.606,"4,998.2",32.0
G-Eazy,"14,390.7",2.566,"10,919.9","1,793.7"
Bizarrap,"14,389.3",3.113,"12,152.3",81.0
MarÃ­lia MendonÃ§a,"14,307.9",5.567,"10,289.1","7,090.2"
Britney Spears,"14,210.8",8.108,"12,386.0","11,796.3"
Lil Durk,"14,207.1",4.980,"6,242.8","2,598.2"
Anitta,"14,119.7",4.774,"6,900.1","2,929.5"
Fleetwood Mac,"14,066.9",9.422,"14,066.6","14,066.1"
