artist,artist_id,followers,genres,popularity,type
Drake,3TVXtAsR1Inumwj472S9r4,103393441.0,rap,95.0,artist
Taylor Swift,06HL4z0CvFAxyc27GXpf02,145960477.0,,100.0,artist
Bad Bunny,4q3ewBCX7sLwd24euuV69X,102944627.0,"reggaeton, trap latino, urbano latino, latin",96.0,artist
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,113413144.0,,94.0,artist
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,85170938.0,,91.0,artist
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,107551510.0,pop,91.0,artist
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,122959276.0,soft pop,88.0,artist
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,41249103.0,rap,90.0,artist
Eminem,7dGJo4pcD2V6oG8kP0tJRR,104782606.0,"rap, hip hop",89.0,artist
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,31123634.0,rap,90.0,artist
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,69227410.0,,91.0,artist
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,119093338.0,,91.0,artist
Post Malone,246dkjvS1zLTtiykXe5h60,47760255.0,,86.0,artist
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,44748029.0,"hip hop, west coast hip hop",89.0,artist
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,39168085.0,"reggaeton, latin",86.0,artist
Future,1RyvyyTE3xzB2ZywiAwp0i,22754990.0,rap,89.0,artist
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,75722954.0,,90.0,artist
BTS,3kYFawNQVZ00FQbgs4rVBe,131777.0,pop punk,39.0,artist
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,39423857.0,"reggaeton, trap latino, latin, urbano latino",86.0,artist
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,42674578.0,"melodic rap, emo rap",85.0,artist
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,60972314.0,,88.0,artist
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,34325866.0,,85.0,artist
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,28437812.0,r&b,88.0,artist
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,46952548.0,pop,85.0,artist
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,51813125.0,emo rap,84.0,artist
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,27176115.0,edm,87.0,artist
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,58439284.0,,86.0,artist
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,52056377.0,,89.0,artist
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,37900199.0,"reggaeton, latin",86.0,artist
Lil Wayne,55Aa2cqylxrFIXC767Z865,17994695.0,"rap, hip hop",86.0,artist
21 Savage,1URnnhqYAYcrqrcwql10ft,23889401.0,,84.0,artist
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,31212602.0,"reggaeton, urbano latino, trap latino, latin",89.0,artist
Anuel AA,2R21vXR83lH98kGeO99Y66,44916330.0,"reggaeton, trap latino, urbano latino, latin",87.0,artist
SZA,15MhssYzR2iVJ9M3dJtsqm,822.0,,12.0,artist
Khalid,6LuN9FCkKOj5PcnpouEgny,16960408.0,,82.0,artist
KAROL G,790FomKkXshlbRYZFtlgla,60577183.0,"reggaeton, latin, urbano latino",88.0,artist
Lil Baby,5f7VJjfbwm532GiveGC0ZK,21715085.0,,85.0,artist
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,42478653.0,"art pop, pop",89.0,artist
Maroon 5,04gDigrS5kc9YWfZHwBETP,45851544.0,pop,85.0,artist
BeyoncÃ©,5e4do81WRKCwBbMQHBny6O,21.0,,0.0,artist
Maluma,1r4hJ1h58CWwUQe3MxPuau,38666840.0,"reggaeton, latin, urbano latino",84.0,artist
Feid,2LRoIwlKmHjgvigdNGBHNo,18958738.0,"reggaeton, urbano latino",86.0,artist
Calvin Harris,7CajNmpbOovFoOoasH2HaY,23090051.0,edm,84.0,artist
Arijit Singh,4YRxDV8wJFPHPTeXepOstw,164612209.0,"hindi pop, bollywood, desi, bangla pop",90.0,artist
Myke Towers,7iK8PXO48WeuP03g8YR51W,22049681.0,"reggaeton, trap latino, urbano latino",85.0,artist
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,19290120.0,melodic rap,82.0,artist
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,27119819.0,rap,83.0,artist
Sia,15MhssYzR2iVJ9M3dJtsqm,822.0,,12.0,artist
Young Thug,50co4Is1HCEo8bhOyUWKpn,12450209.0,"rap, melodic rap, trap",84.0,artist
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,31914044.0,"nu metal, rap metal, rock, alternative metal",88.0,artist
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,34845662.0,,87.0,artist
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,45744646.0,,82.0,artist
Sam Smith,2wY79sveU1sp5g7SokKOiI,26317110.0,soft pop,82.0,artist
Shakira,0EmeFodog0BfCgMzAIvKQp,39912067.0,latin pop,86.0,artist
Farruko,329e4yvIujISKGKz1BZZbO,17079799.0,"reggaeton, trap latino",83.0,artist
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,24095348.0,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos",86.0,artist
Queen,1dfeR4HaWDbWqFHLkxsg1d,55290795.0,"classic rock, rock, glam rock",83.0,artist
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,14073416.0,country,88.0,artist
One Direction,4AK6F7OLvEQ5QYCBNiQWHq,40309848.0,,83.0,artist
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,11727578.0,,84.0,artist
Adele,1d4uM0g9449nE9TV5KeWch,29432.0,"gospel, african gospel",29.0,artist
Harry Styles,6KImCVD70vtIoJWnq6nGn3,34167754.0,,81.0,artist
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,10404869.0,melodic rap,85.0,artist
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,32170271.0,"indie, garage rock",85.0,artist
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,53307375.0,,81.0,artist
Katy Perry,6jJ0s89eD6GaHleKKya26X,38489430.0,pop,84.0,artist
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,7337973.0,trap soul,81.0,artist
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,24539525.0,,87.0,artist
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,49253503.0,,85.0,artist
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,20620656.0,"reggaeton, latin",81.0,artist
Halsey,26VFTg2z8YR0cCuwLzESi2,22414645.0,,81.0,artist
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,30764355.0,"classic rock, psychedelic rock",83.0,artist
Pritam,1wRPtKGflJrBx9BmLsSwlU,60537662.0,"bollywood, hindi pop, desi",88.0,artist
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,12094871.0,rap,81.0,artist
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,15081285.0,rage rap,86.0,artist
Pitbull,0TnOYISbd1XYRBk9myaseg,11971523.0,,84.0,artist
Die drei ???,3meJIgRw7YleJrmbpbJK6S,1208859.0,,85.0,artist
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,21376081.0,,80.0,artist
Marshmello,64KEffDW9EtZ1y2vBYgq8T,34495260.0,edm,80.0,artist
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,20363501.0,,84.0,artist
Junior H,2dyeCWctcFRt3Pha76ONgb,1908403.0,"outlaw country, classic country, country, honky tonk, country rock",67.0,artist
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,10408337.0,"hip hop, east coast hip hop, rap",83.0,artist
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,26601402.0,,81.0,artist
